ts_real,ts_esp32,soil_raw,temp,hum,estado,momento
2026-07-18T17:00:31.195010,16156400,972,17.75,23.39,mojado,tarde
2026-07-19T11:38:27.303378,10282800,2966,25.83,26.54,seco,dia
2026-07-20T16:35:29.336219,259200,1406,17.23,23.15,humedo,tarde
2026-07-20T15:21:03.735524,11659200,948,16.79,23.51,mojado,tarde
2026-07-18T10:42:49.343554,15196400,2910,25.43,25.88,seco,dia
2026-07-18T09:12:53.090998,15586400,1042,24.35,22.71,mojado,dia
2026-07-19T09:04:38.853867,13372800,1640,28.61,26.38,humedo,dia
2026-07-18T09:32:29.652443,3516400,2845,24.65,25.79,seco,dia
2026-07-21T02:19:09.501019,12695600,985,13.57,41.78,mojado,noche
2026-07-20T15:22:53.248132,6319200,1843,16.77,22.25,seco,tarde
2026-07-18T10:05:34.699738,956400,1132,27.44,23.79,mojado,dia
2026-07-18T15:15:48.900898,8516400,1747,16.43,22.78,seco,tarde
2026-07-20T20:13:09.521452,16039200,988,13.5,41.84,mojado,noche
2026-07-18T18:18:57.547707,9736400,997,18.49,23.52,mojado,noche
2026-07-21T04:09:40.884769,3495600,1535,13.73,41.33,humedo,noche
2026-07-19T17:26:59.611316,2272800,1419,17.83,23.79,humedo,tarde
2026-07-21T01:59:06.924430,6665600,1988,14.01,39.28,seco,noche
2026-07-21T06:50:04.048916,14845600,2817,24.59,26.4,seco,dia
2026-07-18T04:13:33.537755,7436400,1969,13.88,39.04,seco,noche
2026-07-20T05:54:31.760429,7789200,2003,14.15,38.93,seco,noche
2026-07-18T11:58:23.926373,13586400,2939,25.74,25.8,seco,dia
2026-07-19T16:15:53.235091,12002800,1876,17.33,22.37,seco,tarde
2026-07-18T15:44:57.398012,8936400,1339,16.7,23.9,humedo,tarde
2026-07-19T13:33:47.786363,7082800,911,15.54,23.35,mojado,tarde
2026-07-18T17:17:38.304509,2296400,1411,17.74,23.42,humedo,tarde
2026-07-21T15:02:53.433591,4995600,1285,16.17,23.54,humedo,tarde
2026-07-20T10:57:33.989464,14109200,1767,29.17,23.26,humedo,dia
2026-07-20T07:21:18.692938,3909200,2817,24.6,25.73,seco,dia
2026-07-20T17:31:15.693110,10039200,1419,17.96,23.31,humedo,tarde
2026-07-18T14:21:10.334959,2686400,1237,15.88,23.59,humedo,tarde
2026-07-20T22:24:36.108749,1819200,1989,14.03,37.82,seco,noche
2026-07-18T12:53:30.240796,7216400,1198,14.8,23.77,humedo,tarde
2026-07-21T18:12:08.087753,1355600,996,18.66,23.67,mojado,noche
2026-07-19T00:28:13.480341,15736400,1973,13.97,38.39,seco,noche
2026-07-19T12:15:24.185847,15562800,1711,24.37,25.78,humedo,tarde
2026-07-21T22:27:08.559591,12865600,2018,14.27,39.55,seco,noche
2026-07-21T02:47:44.623351,13025600,1313,13.56,41.25,humedo,noche
2026-07-18T11:17:12.221459,12386400,2945,25.68,26.03,seco,dia
2026-07-18T13:46:06.077200,9556400,1231,15.26,23.33,humedo,tarde
2026-07-18T21:48:59.195409,15526400,1432,13.61,41.28,humedo,noche
2026-07-18T19:01:06.432227,2726400,1382,13.71,41.8,humedo,noche
2026-07-18T02:14:00.744298,3536400,985,13.45,41.9,mojado,noche
2026-07-19T09:44:09.103719,14902800,2957,25.72,26.26,seco,dia
2026-07-21T05:50:24.770545,11625600,1206,13.73,41.56,humedo,noche
2026-07-20T07:58:16.211066,4089200,1454,22.92,20.15,humedo,dia
2026-07-20T13:44:01.736871,8279200,908,15.57,23.17,mojado,tarde
2026-07-20T23:41:41.744247,9679200,1993,14.01,39.09,seco,noche
2026-07-21T00:27:15.045500,12489200,1346,13.84,41.14,humedo,noche
2026-07-18T15:30:12.957643,16506400,1326,16.64,23.6,humedo,tarde
2026-07-18T12:52:26.205015,2706400,897,15.12,23.36,mojado,tarde
2026-07-21T11:12:10.321405,8575600,1663,26.03,26.18,humedo,dia
2026-07-20T08:08:25.636401,13249200,1081,25.56,26.54,mojado,dia
2026-07-21T08:41:59.195414,10225600,1062,25.08,25.39,mojado,dia
2026-07-18T02:07:37.992745,7406400,1996,14.09,39.3,seco,noche
2026-07-19T16:15:10.604922,2882800,1884,17.47,21.88,seco,tarde
2026-07-18T19:22:48.235031,5746400,1418,13.66,41.58,humedo,noche
2026-07-18T04:20:56.397987,10026400,2012,14.25,38.6,seco,noche
2026-07-20T14:35:34.296155,11849200,1207,15.85,23.38,humedo,tarde
2026-07-20T15:21:32.344982,11129200,1349,16.38,23.81,humedo,tarde
2026-07-19T01:23:05.296270,10472800,1978,13.93,38.81,seco,noche
2026-07-21T14:20:31.622394,7895600,1278,15.97,23.36,humedo,tarde
2026-07-19T10:11:17.353178,3562800,1932,28.59,24.91,humedo,dia
2026-07-19T02:20:11.148245,2642800,988,13.63,41.9,mojado,noche
2026-07-20T03:31:09.999455,5309200,1534,13.78,41.27,humedo,noche
2026-07-19T12:19:22.157132,12552800,886,14.79,23.34,mojado,tarde
2026-07-20T16:32:32.484888,3059200,1376,17.33,23.22,humedo,tarde
2026-07-20T08:09:03.025539,1449200,1064,25.12,25.25,mojado,dia
2026-07-20T07:44:01.918549,12349200,1520,27.12,26.41,humedo,dia
2026-07-19T06:55:15.476596,5172800,1703,26.29,24.47,humedo,dia
2026-07-21T09:56:10.912303,2175600,2904,25.38,26.04,seco,dia
2026-07-20T22:55:24.589956,2379200,1698,13.84,41.3,humedo,noche
2026-07-21T13:26:21.693778,5495600,1674,15.52,22.31,seco,tarde
2026-07-21T06:00:13.141122,4725600,1489,13.68,41.45,humedo,dia
2026-07-20T10:35:44.861976,3119200,2929,25.49,26.01,seco,dia
2026-07-20T23:14:00.929268,1299200,982,13.48,41.96,mojado,noche
2026-07-21T16:57:23.209082,12475600,1404,17.47,23.67,humedo,tarde
2026-07-20T16:55:45.932737,14339200,974,17.75,24.0,mojado,tarde
2026-07-21T21:18:29.110631,1055600,995,13.69,41.89,mojado,noche
2026-07-19T00:27:46.490843,15736400,980,13.54,41.83,mojado,noche
2026-07-20T18:46:35.056019,4229200,999,18.49,23.95,mojado,noche
2026-07-20T06:24:43.220932,6899200,1053,24.75,25.42,mojado,dia
2026-07-18T06:30:14.387609,8806400,1170,25.2,23.28,humedo,dia
2026-07-19T05:22:44.874238,12352800,993,13.7,41.84,mojado,noche
2026-07-18T09:50:44.711955,5196400,1046,24.43,28.09,mojado,dia
2026-07-21T09:16:45.675441,16265600,1661,26.48,21.02,humedo,dia
2026-07-20T07:50:42.140217,14859200,1416,26.89,22.48,humedo,dia
2026-07-19T13:23:29.850991,1412800,900,15.3,23.79,mojado,tarde
2026-07-20T13:59:37.584489,8079200,1737,16.09,21.34,seco,tarde
2026-07-21T21:34:06.515679,14085600,1995,14.05,39.03,seco,noche
2026-07-19T02:09:10.355177,3192800,1969,13.88,38.19,seco,noche
2026-07-19T22:34:32.173980,16662800,2012,14.17,39.61,seco,noche
2026-07-18T06:44:03.149846,16196400,998,13.71,41.91,mojado,dia
2026-07-20T10:20:47.424122,16539200,1149,27.95,23.64,mojado,dia
2026-07-20T00:59:58.484432,6839200,983,13.57,41.86,mojado,noche
2026-07-20T09:22:43.271372,9759200,1117,26.82,26.11,mojado,dia
2026-07-18T22:48:34.791187,1796400,1994,14.1,39.44,seco,noche
2026-07-21T14:50:37.144357,15045600,933,16.4,23.52,mojado,tarde
2026-07-19T08:56:27.553238,1612800,1449,25.05,23.77,humedo,dia
2026-07-18T17:16:12.778579,7496400,1435,17.81,23.81,humedo,tarde
2026-07-21T20:45:19.932866,9725600,985,13.57,41.97,mojado,noche
2026-07-21T18:56:39.714252,10105600,1998,14.14,38.74,seco,noche
2026-07-19T21:39:53.693545,2162800,1398,13.82,41.42,humedo,noche
2026-07-21T09:37:14.655999,6885600,1065,25.31,24.37,mojado,dia
2026-07-18T18:04:07.487977,2346400,1005,18.59,23.72,mojado,noche
2026-07-18T07:06:26.394814,16236400,2835,24.67,25.93,seco,dia
2026-07-20T14:49:53.118272,1289200,1778,16.14,22.3,seco,tarde
2026-07-19T02:37:40.777388,7342800,2010,14.23,40.15,seco,noche
2026-07-20T04:23:57.596339,7709200,1000,13.63,41.9,mojado,noche
2026-07-19T14:22:23.343219,11522800,929,16.07,23.55,mojado,tarde
2026-07-18T08:40:52.522706,15506400,1112,26.6,22.73,mojado,dia
2026-07-20T07:32:47.123555,6809200,1373,25.39,23.03,humedo,dia
2026-07-22T00:37:44.429913,3335600,1962,13.83,38.34,seco,noche
2026-07-21T15:13:24.378367,8415600,1833,16.83,22.58,seco,tarde
2026-07-21T00:36:34.438382,15535600,1425,13.86,41.45,humedo,noche
2026-07-19T22:41:01.674654,1632800,994,13.56,41.88,mojado,noche
2026-07-21T09:41:30.906432,4765600,2877,25.21,25.72,seco,dia
2026-07-20T17:33:59.794781,11709200,988,18.26,24.01,mojado,tarde
2026-07-21T05:46:02.423002,10285600,990,13.72,41.94,mojado,noche
2026-07-18T12:16:04.035853,126400,881,14.63,23.98,mojado,tarde
2026-07-18T18:35:21.182230,14396400,996,18.49,23.43,mojado,noche
2026-07-21T21:53:07.886202,15295600,1993,14.11,39.24,seco,noche
2026-07-18T11:02:39.591607,5696400,2934,25.64,26.03,seco,dia
2026-07-21T16:54:27.745402,1485600,1940,17.71,23.06,seco,tarde
2026-07-20T17:50:19.543881,13729200,995,18.39,23.58,mojado,tarde
2026-07-18T20:41:53.690771,806400,1524,13.69,41.35,humedo,noche
2026-07-21T09:38:40.918941,12175600,1125,27.21,22.56,mojado,dia
2026-07-19T13:17:41.822526,13462800,1650,15.53,22.09,seco,tarde
2026-07-20T13:11:15.032145,4849200,905,15.4,23.89,mojado,tarde
2026-07-20T15:20:32.447616,1029200,1324,16.54,23.4,humedo,tarde
2026-07-19T10:57:26.353684,16262800,1334,24.73,24.51,humedo,dia
2026-07-20T17:15:13.754421,14799200,983,17.99,23.45,mojado,tarde
2026-07-18T01:27:18.218819,6556400,1996,14.14,38.63,seco,noche
2026-07-21T06:25:45.011414,14775600,1111,26.65,22.88,mojado,dia
2026-07-20T15:16:47.360837,2469200,1836,16.7,22.93,seco,tarde
2026-07-19T17:10:58.130271,13242800,984,17.88,23.44,mojado,tarde
2026-07-19T20:36:20.513496,16182800,1968,13.77,39.37,seco,noche
2026-07-20T17:30:06.418354,14949200,984,18.23,23.1,mojado,tarde
2026-07-18T10:20:07.828492,12116400,1311,25.89,24.44,humedo,dia
2026-07-18T14:30:26.656772,14286400,1695,15.85,22.21,seco,tarde
2026-07-19T06:49:47.731678,5122800,2827,24.69,26.12,seco,dia
2026-07-20T10:31:16.018001,5549200,1909,26.86,25.86,humedo,dia
2026-07-19T10:28:00.322595,7702800,1138,27.59,24.51,mojado,dia
2026-07-19T10:30:05.153027,2192800,1728,27.69,20.34,humedo,dia
2026-07-19T15:16:35.631152,13522800,939,16.58,24.1,mojado,tarde
2026-07-19T06:50:20.872372,6082800,2766,24.22,26.19,seco,dia
2026-07-18T10:48:17.964455,5176400,2848,24.84,26.64,seco,dia
2026-07-20T12:54:31.651400,15269200,1210,14.99,23.5,humedo,tarde
2026-07-19T18:42:35.467014,1982800,1457,18.5,23.71,humedo,noche
2026-07-20T11:19:51.041139,9619200,1096,26.16,26.01,mojado,dia
2026-07-19T05:40:33.425197,9602800,2000,14.09,39.2,seco,noche
2026-07-21T20:31:09.505897,525600,2037,14.49,39.21,seco,noche
2026-07-19T11:19:53.423219,12512800,2927,25.55,26.3,seco,dia
2026-07-19T15:46:40.241210,12842800,954,17.05,23.84,mojado,tarde
2026-07-20T09:38:17.852389,8439200,2894,25.31,26.02,seco,dia
2026-07-21T16:14:45.938145,12515600,1870,17.61,21.93,seco,tarde
2026-07-18T11:57:31.826526,11156400,1488,24.26,23.61,humedo,dia
2026-07-18T16:59:45.871496,706400,973,17.78,24.07,mojado,tarde
2026-07-18T07:27:18.207800,6446400,1106,26.52,25.56,mojado,dia
2026-07-18T14:40:58.040070,15996400,1297,16.16,23.39,humedo,tarde
2026-07-18T11:59:40.794893,6356400,1142,27.78,23.91,mojado,dia
2026-07-19T07:13:29.769363,12492800,1113,26.81,25.17,mojado,dia
2026-07-19T12:09:34.429798,7842800,907,19.99,25.47,mojado,tarde
2026-07-18T13:47:07.813729,13106400,915,15.68,23.74,mojado,tarde
2026-07-20T22:52:00.846033,10669200,983,13.57,41.9,mojado,noche
2026-07-20T23:43:00.135786,14909200,984,13.49,41.83,mojado,noche
2026-07-19T08:47:49.987149,6312800,1090,25.87,26.1,mojado,dia
2026-07-21T13:07:11.796895,595600,901,15.32,23.75,mojado,tarde
2026-07-21T22:46:51.072361,4055600,2013,14.23,39.57,seco,noche
2026-07-21T06:59:33.706431,1165600,1248,23.04,24.4,humedo,dia
2026-07-21T12:51:14.548089,1325600,1596,14.88,22.56,seco,tarde
2026-07-19T12:03:35.350765,14282800,921,20.26,25.76,mojado,tarde
2026-07-19T11:12:57.593225,4822800,1102,26.43,24.68,mojado,dia
2026-07-21T04:43:42.737018,8735600,992,13.67,41.92,mojado,noche
2026-07-19T22:13:30.845672,7902800,980,13.55,41.9,mojado,noche
2026-07-19T10:28:29.664999,14962800,1544,25.33,26.18,humedo,dia
2026-07-21T22:40:57.464516,11225600,1976,13.95,38.83,seco,noche
2026-07-21T07:34:33.003056,5875600,2760,23.99,25.84,seco,dia
2026-07-19T12:33:34.368319,15652800,964,22.14,27.16,mojado,tarde
2026-07-21T16:11:25.220800,4385600,959,17.18,23.67,mojado,tarde
2026-07-19T10:47:04.451776,522800,1762,26.49,22.83,humedo,dia
2026-07-18T11:45:00.135705,16216400,2958,25.84,26.15,seco,dia
2026-07-21T07:16:19.521042,9375600,2792,24.18,25.68,seco,dia
2026-07-21T11:51:39.672353,6655600,1108,26.54,26.37,mojado,dia
2026-07-19T21:37:46.125573,6842800,1499,13.65,41.48,humedo,noche
2026-07-19T06:56:45.477653,15582800,1059,24.78,24.48,mojado,dia
2026-07-19T11:33:03.437949,12032800,1703,26.65,21.73,humedo,dia
2026-07-21T06:04:52.659218,1305600,988,13.63,41.86,mojado,dia
2026-07-21T18:04:49.474866,12305600,2002,18.67,21.68,seco,noche
2026-07-18T17:52:28.247399,16526400,1428,18.11,23.19,humedo,tarde
2026-07-19T10:15:35.358605,10182800,1760,27.58,25.53,humedo,dia
2026-07-21T02:28:34.858913,1135600,981,13.46,41.83,mojado,noche
2026-07-19T13:13:33.687438,14952800,1641,15.46,22.3,seco,tarde
2026-07-18T09:00:49.908053,16326400,2847,24.8,25.96,seco,dia
2026-07-19T06:12:48.206893,3652800,2723,23.71,25.56,seco,dia
2026-07-21T07:31:45.710833,7235600,2790,24.3,26.0,seco,dia
2026-07-18T03:14:07.038514,10326400,1987,13.99,39.48,seco,noche
2026-07-19T11:10:07.885597,2422800,1743,26.24,26.76,humedo,dia
2026-07-20T21:01:13.894489,10629200,989,13.62,41.9,mojado,noche
2026-07-19T07:27:32.688741,3812800,2713,23.67,26.23,seco,dia
2026-07-18T16:01:31.660618,9626400,953,17.13,23.54,mojado,tarde
2026-07-20T10:40:59.671363,14979200,1456,25.08,23.15,humedo,dia
2026-07-20T16:57:17.610338,3569200,979,17.8,23.94,mojado,tarde
2026-07-21T18:57:09.144009,5795600,2028,14.35,38.69,seco,noche
2026-07-19T15:21:13.312395,14292800,953,16.77,23.03,mojado,tarde
2026-07-18T13:37:35.939635,15256400,1189,15.3,23.69,humedo,tarde
2026-07-19T10:06:18.058671,5372800,1715,27.43,22.34,humedo,dia
2026-07-21T11:46:06.759652,11675600,1163,28.38,25.6,mojado,dia
2026-07-20T18:30:21.187066,1639200,1979,18.43,22.08,seco,noche
2026-07-18T09:26:38.079788,7366400,1391,26.86,21.89,humedo,dia
2026-07-21T12:01:42.724921,835600,1350,21.35,22.13,humedo,tarde
2026-07-18T16:28:29.133869,11336400,1406,17.26,23.67,humedo,tarde
2026-07-21T04:40:03.151967,10605600,1998,14.12,39.35,seco,noche
2026-07-21T09:48:06.950232,1475600,1073,25.45,22.28,mojado,dia
2026-07-19T13:49:34.513557,10842800,912,15.62,23.51,mojado,tarde
2026-07-20T00:48:02.197432,3489200,1974,13.9,39.66,seco,noche
2026-07-20T01:58:25.741345,12049200,1462,13.48,41.61,humedo,noche
2026-07-18T19:13:49.771783,16496400,2048,14.47,38.57,seco,noche
2026-07-19T10:00:38.406938,10822800,1604,27.78,23.04,humedo,dia
2026-07-21T18:08:44.420481,6535600,1003,18.5,23.63,mojado,noche
2026-07-18T09:51:50.543930,13276400,1150,27.84,26.43,mojado,dia
2026-07-19T08:10:57.153351,7442800,1918,27.37,21.83,humedo,dia
2026-07-19T16:29:19.376024,13552800,962,17.44,23.8,mojado,tarde
2026-07-19T03:40:52.584665,5192800,1992,14.02,38.81,seco,noche
2026-07-20T12:52:19.054099,10599200,887,15.08,23.5,mojado,tarde
2026-07-20T12:44:16.705990,3289200,1569,14.64,21.83,seco,tarde
2026-07-21T08:49:55.142876,2255600,1076,25.68,23.68,mojado,dia
2026-07-18T02:25:05.333155,13846400,1694,13.81,41.35,humedo,noche
2026-07-19T05:10:41.567315,3672800,1472,13.7,41.32,humedo,noche
2026-07-19T15:37:31.109095,10172800,951,16.93,23.71,mojado,tarde
2026-07-19T14:51:47.664162,10982800,938,16.4,23.4,mojado,tarde
2026-07-20T10:33:44.900404,8309200,2953,25.74,25.71,seco,dia
2026-07-18T16:29:11.569366,8276400,1355,17.48,23.44,humedo,tarde
2026-07-20T21:26:25.972672,6249200,1962,13.87,38.86,seco,noche
2026-07-19T20:14:16.851115,5182800,985,13.6,41.89,mojado,noche
2026-07-20T10:32:58.881190,10679200,1154,28.17,24.04,mojado,dia
2026-07-20T07:07:34.702620,2049200,2758,24.05,25.99,seco,dia
2026-07-19T07:23:04.815827,10142800,2763,24.07,26.64,seco,dia
2026-07-21T13:25:16.551760,4785600,1698,15.6,21.42,seco,tarde
2026-07-19T17:19:19.994680,10082800,1918,18.1,22.43,seco,tarde
2026-07-20T14:19:23.670279,2429200,1291,15.86,23.65,humedo,tarde
2026-07-21T22:24:38.913037,12115600,2000,14.18,40.35,seco,noche
2026-07-18T03:12:58.442396,7076400,986,13.62,41.91,mojado,noche
2026-07-21T20:59:09.232969,1045600,2009,14.12,38.88,seco,noche
2026-07-18T16:30:31.934259,5986400,964,17.46,23.94,mojado,tarde
2026-07-18T13:59:56.236157,14236400,1644,15.66,22.06,seco,tarde
2026-07-19T17:01:49.729872,10302800,1857,17.5,21.85,seco,tarde
2026-07-18T01:31:23.204845,1706400,2025,14.38,40.51,seco,noche
2026-07-20T07:37:41.174878,3399200,1826,27.6,24.59,humedo,dia
2026-07-18T10:30:16.197298,12286400,2949,25.85,26.18,seco,dia
2026-07-21T10:48:16.628387,14965600,2951,25.79,25.85,seco,dia
2026-07-18T00:58:33.835028,11246400,1500,13.63,41.37,humedo,noche
2026-07-20T21:58:30.413997,6969200,1994,14.08,39.64,seco,noche
2026-07-18T12:58:03.539647,8026400,1570,15.0,22.45,seco,tarde
2026-07-19T16:30:59.862471,4602800,1845,17.31,22.3,seco,tarde
2026-07-20T13:01:06.014378,8899200,896,15.04,23.78,mojado,tarde
2026-07-18T12:50:10.648976,13096400,892,15.04,23.61,mojado,tarde
2026-07-21T21:29:16.018337,13925600,1498,13.63,41.09,humedo,noche
2026-07-19T14:46:07.570889,6782800,1285,16.28,23.38,humedo,tarde
2026-07-20T11:13:59.519242,3059200,1130,27.43,24.76,mojado,dia
2026-07-21T16:22:33.622011,4805600,966,17.45,23.55,mojado,tarde
2026-07-22T00:33:44.296039,10985600,1505,13.7,41.39,humedo,noche
2026-07-21T20:01:47.666469,1855600,992,13.66,41.87,mojado,noche
2026-07-20T01:09:08.680277,11229200,1992,14.04,39.3,seco,noche
2026-07-18T16:51:52.305614,5506400,1915,17.9,21.83,seco,tarde
2026-07-18T14:23:17.167046,13306400,931,16.08,23.77,mojado,tarde
2026-07-20T12:19:02.394579,10779200,2358,20.37,26.09,seco,tarde
2026-07-20T07:14:13.770365,6159200,2806,24.49,26.31,seco,dia
2026-07-21T11:37:44.259874,3475600,1147,27.8,25.85,mojado,dia
2026-07-21T13:48:25.914547,3065600,1651,15.66,22.68,seco,tarde
2026-07-20T18:33:54.320109,2599200,1006,18.64,23.6,mojado,noche
2026-07-21T23:29:51.104242,16065600,1427,13.6,41.3,humedo,noche
2026-07-19T13:30:11.052925,14092800,1191,15.18,23.36,humedo,tarde
2026-07-21T18:01:26.263115,7105600,1440,18.23,23.18,humedo,noche
2026-07-19T22:35:13.347795,7482800,1617,13.75,41.38,humedo,noche
2026-07-18T08:34:38.728658,7736400,2859,24.84,25.92,seco,dia
2026-07-21T14:44:35.546113,8615600,1730,16.03,22.64,seco,tarde
2026-07-21T08:12:09.707972,9385600,1999,28.79,24.02,humedo,dia
2026-07-19T13:24:14.479211,6592800,909,15.5,23.29,mojado,tarde
2026-07-21T14:57:02.519879,16895600,1305,16.13,23.88,humedo,tarde
2026-07-20T09:22:07.510547,3369200,1698,28.66,24.64,humedo,dia
2026-07-20T02:54:54.229860,16349200,2058,14.61,39.0,seco,noche
2026-07-21T14:44:00.865808,1445600,935,16.29,24.0,mojado,tarde
2026-07-19T07:09:18.052437,12342800,1223,21.71,23.21,humedo,dia
2026-07-18T10:50:40.057770,15096400,1105,26.74,25.86,mojado,dia
